year,variable,value,question,N,low,pct,upp
1991,hrsgaming,NA,eqpay,15675,0.688226289850062,0.696786052774292,0.705345815698522
1991,hrsgaming,NA,jobop,15675,0.502322315632146,0.511656194731676,0.520990073831206
1992,hrsgaming,NA,eqpay,15972,0.713891027151886,0.722045948223822,0.730200869295758
1992,hrsgaming,NA,jobop,15972,0.539918192353207,0.548974541718249,0.55803089108329
1993,hrsgaming,NA,eqpay,15973,0.727678295185296,0.735848590050203,0.74401888491511
1993,hrsgaming,NA,jobop,15973,0.550798117248898,0.559976519839953,0.569154922431007
1994,hrsgaming,NA,eqpay,16041,0.728119174010198,0.736091676767575,0.744064179524952
1994,hrsgaming,NA,jobop,16041,0.554561632171673,0.563466893916558,0.572372155661443
1995,hrsgaming,NA,eqpay,16814,0.739109397939544,0.746839165601632,0.75456893326372
1995,hrsgaming,NA,jobop,16814,0.57199697252431,0.580787455725795,0.589577938927279
1996,hrsgaming,NA,eqpay,16093,0.729706772028541,0.737838606923243,0.745970441817946
1996,hrsgaming,NA,jobop,16093,0.568426150364747,0.577485221936199,0.586544293507651
1997,hrsgaming,NA,eqpay,10841,0.73817259950464,0.747695472441895,0.75721834537915
1997,hrsgaming,NA,jobop,10841,0.584326403928097,0.595053829707585,0.605781255487073
1998,hrsgaming,NA,eqpay,10385,0.74303584474014,0.752764275107803,0.762492705475466
1998,hrsgaming,NA,jobop,10385,0.59812626407246,0.609102232183561,0.620078200294662
1999,hrsgaming,NA,eqpay,9332,0.718189609956965,0.728811237216884,0.739432864476803
1999,hrsgaming,NA,jobop,9332,0.575465920470671,0.587136746583041,0.598807572695411
2000,hrsgaming,NA,eqpay,9736,0.718714656933053,0.729234003377007,0.739753349820961
2000,hrsgaming,NA,jobop,9736,0.581528549216701,0.593131810922917,0.604735072629133
2001,hrsgaming,NA,eqpay,9428,0.702280272596393,0.713012806631449,0.723745340666505
2001,hrsgaming,NA,jobop,9428,0.581584373835723,0.593200319036939,0.604816264238156
2002,hrsgaming,NA,eqpay,9378,0.700168115212636,0.711199889306655,0.722231663400673
2002,hrsgaming,NA,jobop,9378,0.576413666763616,0.588306082644743,0.60019849852587
2003,hrsgaming,NA,eqpay,10009,0.705399781396059,0.715627355621257,0.725854929846455
2003,hrsgaming,NA,jobop,10009,0.584817936755521,0.595870261375087,0.606922585994653
2004,hrsgaming,NA,eqpay,10630,0.704220616645273,0.714004477800274,0.723788338955274
2004,hrsgaming,NA,jobop,10630,0.570086625307865,0.580860634257774,0.591634643207684
2005,hrsgaming,NA,eqpay,10564,0.713842706094254,0.723699873718558,0.733557041342862
2005,hrsgaming,NA,jobop,10564,0.585984727032579,0.596768076846108,0.607551426659637
2006,hrsgaming,NA,eqpay,5169,0.706178317886175,0.720056650701443,0.733934983516711
2006,hrsgaming,NA,jobop,5169,0.565900731346452,0.581245882010208,0.596591032673965
2007,hrsgaming,NA,eqpay,5206,0.713297668610097,0.727377887017481,0.741458105424865
2007,hrsgaming,NA,jobop,5206,0.577483722889149,0.592956346216557,0.608428969543964
2008,hrsgaming,NA,eqpay,4793,0.716063231740549,0.730584843935423,0.745106456130296
2008,hrsgaming,NA,jobop,4793,0.558933922838406,0.57518154766079,0.591429172483174
2009,hrsgaming,NA,eqpay,4782,0.70016482278125,0.715727750681406,0.731290678581562
2009,hrsgaming,NA,jobop,4782,0.592918076448597,0.609502918934323,0.62608776142005
2010,hrsgaming,NA,eqpay,4855,0.690635259987588,0.705436825004962,0.720238390022336
2010,hrsgaming,NA,jobop,4855,0.541605573840719,0.557732668239381,0.573859762638043
2011,hrsgaming,NA,eqpay,5065,0.681337519315749,0.695926454276848,0.710515389237948
2011,hrsgaming,NA,jobop,5065,0.550234083363515,0.565949496321162,0.581664909278809
2012,hrsgaming,NA,eqpay,4816,0.699439806046776,0.714097053547023,0.728754301047269
2012,hrsgaming,NA,jobop,4816,0.53779078141098,0.554080025613327,0.570369269815674
2013,hrsgaming,NA,eqpay,4348,0.68436601401289,0.700353048058382,0.716340082103874
2013,hrsgaming,NA,jobop,4348,0.533053743451213,0.550196534089796,0.567339324728379
2014,hrsgaming,NA,eqpay,4432,0.707721287262308,0.723277080968864,0.738832874675421
2014,hrsgaming,NA,jobop,4432,0.577095580905102,0.594202123772137,0.611308666639171
2015,hrsgaming,NA,eqpay,4838,0.70563186012247,0.720610111714537,0.735588363306604
2015,hrsgaming,NA,jobop,4838,0.606998703655929,0.623066839394109,0.639134975132288
2016,hrsgaming,NA,eqpay,5042,0.69195091259828,0.707268010130232,0.722585107662184
2016,hrsgaming,NA,jobop,5042,0.602161362296465,0.618423942365015,0.634686522433565
