year,variable,value,question,N,low,pct,upp
1991,ofthang,No,eqpay,1891,0.65994150191518,0.685188219747721,0.710434937580261
1991,ofthang,No,jobop,1891,0.490185190649482,0.517603807636483,0.545022424623484
1991,ofthang,Yes,eqpay,13675,0.690244847916081,0.699351870978646,0.70845889404121
1991,ofthang,Yes,jobop,13675,0.501164341496454,0.511121135152996,0.521077928809538
1992,ofthang,No,eqpay,2093,0.678428298701121,0.701555449803596,0.72468260090607
1992,ofthang,No,jobop,2093,0.531281182918829,0.556287922853847,0.581294662788866
1992,ofthang,Yes,eqpay,13764,0.716466786292241,0.725215185092399,0.733963583892557
1992,ofthang,Yes,jobop,13764,0.537641493655567,0.547397567642457,0.557153641629347
1993,ofthang,No,eqpay,2083,0.724820392211384,0.746991099266591,0.769161806321798
1993,ofthang,No,jobop,2083,0.534862042848876,0.560567677797346,0.586273312745816
1993,ofthang,Yes,eqpay,13780,0.725802506841717,0.734601961097119,0.743401415352521
1993,ofthang,Yes,jobop,13780,0.550335367166958,0.560190257792944,0.570045148418931
1994,ofthang,No,eqpay,2277,0.706987600776493,0.728211865337209,0.749436129897926
1994,ofthang,No,jobop,2277,0.530309064522979,0.554132111680968,0.577955158838957
1994,ofthang,Yes,eqpay,13633,0.7285037685884,0.737154782916349,0.745805797244298
1994,ofthang,Yes,jobop,13633,0.555669130250565,0.565315124932911,0.574961119615256
1995,ofthang,No,eqpay,2422,0.704078344839994,0.725068538572503,0.746058732305012
1995,ofthang,No,jobop,2422,0.560252417260616,0.583184484285598,0.606116551310581
1995,ofthang,Yes,eqpay,14208,0.741842384635015,0.750202191659875,0.758561998684736
1995,ofthang,Yes,jobop,14208,0.569940173273105,0.579522508155554,0.589104843038002
1996,ofthang,No,eqpay,2433,0.712481766571009,0.73331058115099,0.754139395730971
1996,ofthang,No,jobop,2433,0.549424027490384,0.572647506326184,0.595870985161984
1996,ofthang,Yes,eqpay,13550,0.729263378098083,0.738139479794836,0.74701558149159
1996,ofthang,Yes,jobop,13550,0.56913320746112,0.579000512232896,0.588867817004672
