year,variable,value,question,N,low,pct,upp
1991,momeduc,College,eqpay,5548,0.698944336740146,0.713062093125623,0.727179849511101
1991,momeduc,College,jobop,5548,0.535257941150433,0.55086292571024,0.566467910270047
1991,momeduc,Non-college,eqpay,8913,0.675840478668648,0.687304056986084,0.698767635303519
1991,momeduc,Non-college,jobop,8913,0.480348807279941,0.492713096399558,0.505077385519175
1992,momeduc,College,eqpay,5483,0.728851996942306,0.742342790885153,0.755833584828
1992,momeduc,College,jobop,5483,0.566119358709155,0.581313032100799,0.596506705492443
1992,momeduc,Non-college,eqpay,9173,0.702777676683593,0.713657555445919,0.724537434208245
1992,momeduc,Non-college,jobop,9173,0.518270664213831,0.530271012487791,0.542271360761751
1993,momeduc,College,eqpay,5586,0.731946775426762,0.745704997335318,0.759463219243874
1993,momeduc,College,jobop,5586,0.577970078815807,0.593292323515961,0.608614568216115
1993,momeduc,Non-college,eqpay,8930,0.717753878062106,0.728746724740616,0.739739571419125
1993,momeduc,Non-college,jobop,8930,0.530995811993756,0.543297682658884,0.555599553324012
1994,momeduc,College,eqpay,5898,0.734752964829212,0.747692411278375,0.760631857727539
1994,momeduc,College,jobop,5898,0.576138314729326,0.590628103556193,0.605117892383059
1994,momeduc,Non-college,eqpay,8825,0.720529446666965,0.731316355205106,0.742103263743247
1994,momeduc,Non-college,jobop,8825,0.535458923690421,0.547474546661496,0.559490169632571
1995,momeduc,College,eqpay,6294,0.747812344149357,0.760166720072706,0.772521095996055
1995,momeduc,College,jobop,6294,0.585809286488088,0.600143052858006,0.614476819227925
1995,momeduc,Non-college,eqpay,8717,0.734920863702483,0.745592748064223,0.756264632425962
1995,momeduc,Non-college,jobop,8717,0.559609791748235,0.571762381289739,0.583914970831242
1996,momeduc,College,eqpay,5904,0.722844459962028,0.736362619573946,0.749880779185863
1996,momeduc,College,jobop,5904,0.58335730831241,0.598107542518987,0.612857776725564
1996,momeduc,Non-college,eqpay,8619,0.731124173795618,0.742142618062364,0.753161062329109
1996,momeduc,Non-college,jobop,8619,0.552588733800002,0.565078664724381,0.577568595648761
1997,momeduc,College,eqpay,4137,0.735815822973146,0.751227983367888,0.76664014376263
1997,momeduc,College,jobop,4137,0.587200201714802,0.604460136074481,0.62172007043416
1997,momeduc,Non-college,eqpay,5631,0.73540390544849,0.748563007745025,0.76172211004156
1997,momeduc,Non-college,jobop,5631,0.576244946706207,0.591110586180374,0.60597622565454
1998,momeduc,College,eqpay,4061,0.744000081890515,0.759675945989426,0.775351810088337
1998,momeduc,College,jobop,4061,0.604870980310831,0.622439547737819,0.640008115164806
1998,momeduc,Non-college,eqpay,5285,0.729451454693143,0.743150786535978,0.756850118378812
1998,momeduc,Non-college,jobop,5285,0.579821006509386,0.595254406469068,0.61068780642875
1999,momeduc,College,eqpay,3593,0.721664490978864,0.738428486984241,0.755192482989618
1999,momeduc,College,jobop,3593,0.601030079198628,0.619555732164889,0.638081385131149
1999,momeduc,Non-college,eqpay,4819,0.711614779668751,0.726501445025755,0.741388110382758
1999,momeduc,Non-college,jobop,4819,0.549895513905584,0.566171963945165,0.582448413984747
2000,momeduc,College,eqpay,3784,0.730291901494187,0.747062968387615,0.763834035281044
2000,momeduc,College,jobop,3784,0.59790408410349,0.616589345522555,0.63527460694162
2000,momeduc,Non-college,eqpay,4900,0.705469547103141,0.720238132816321,0.735006718529501
2000,momeduc,Non-college,jobop,4900,0.562477357331509,0.578723919458207,0.594970481584906
2001,momeduc,College,eqpay,3673,0.705915509663331,0.723032013203469,0.740148516743607
2001,momeduc,College,jobop,3673,0.590023296592248,0.608686347898051,0.627349399203855
2001,momeduc,Non-college,eqpay,4793,0.696177214352693,0.711183132340042,0.726189050327391
2001,momeduc,Non-college,jobop,4793,0.568296364627801,0.584522573626099,0.600748782624398
2002,momeduc,College,eqpay,3858,0.712368175337848,0.729311737453903,0.746255299569958
2002,momeduc,College,jobop,3858,0.596499033836416,0.614865546167321,0.633232058498226
2002,momeduc,Non-college,eqpay,4587,0.686451622864272,0.70245000475209,0.718448386639908
2002,momeduc,Non-college,jobop,4587,0.559155360030804,0.576284699864376,0.593414039697949
2003,momeduc,College,eqpay,4132,0.716263438456453,0.731948440584095,0.747633442711737
2003,momeduc,College,jobop,4132,0.596913834743376,0.614012816856482,0.631111798969589
2003,momeduc,Non-college,eqpay,4831,0.690483789006311,0.705383549023098,0.720283309039885
2003,momeduc,Non-college,jobop,4831,0.561106375820977,0.577113937448585,0.593121499076194
2004,momeduc,College,eqpay,4488,0.718309347395683,0.732984175135774,0.747659002875866
2004,momeduc,College,jobop,4488,0.588098662886862,0.604606852998959,0.621115043111056
2004,momeduc,Non-college,eqpay,5056,0.684786807654777,0.699278099075656,0.713769390496535
2004,momeduc,Non-college,jobop,5056,0.548030822797487,0.563652870898741,0.579274918999996
2005,momeduc,College,eqpay,4579,0.733119946184033,0.747795845943743,0.762471745703454
2005,momeduc,College,jobop,4579,0.615232533196172,0.631462106864141,0.64769168053211
2005,momeduc,Non-college,eqpay,4895,0.692295611301985,0.706950057908106,0.721604504514227
2005,momeduc,Non-college,jobop,4895,0.555150760209653,0.571027810847974,0.586904861486296
2006,momeduc,College,eqpay,2137,0.720696839152979,0.741877625742271,0.763058412331562
2006,momeduc,College,jobop,2137,0.577124314996672,0.600949133365272,0.624773951733871
2006,momeduc,Non-college,eqpay,2484,0.688642016212022,0.70879483275548,0.728947649298938
2006,momeduc,Non-college,jobop,2484,0.541335807437059,0.563501043208807,0.585666278980555
2007,momeduc,College,eqpay,2187,0.721946237896881,0.743569422016229,0.765192606135578
2007,momeduc,College,jobop,2187,0.597847569057923,0.621569568420188,0.645291567782452
2007,momeduc,Non-college,eqpay,2454,0.711430578711282,0.731366167096157,0.751301755481032
2007,momeduc,Non-college,jobop,2454,0.552267474847839,0.574725072279939,0.597182669712039
2008,momeduc,College,eqpay,2001,0.740575563539148,0.762220221110393,0.783864878681638
2008,momeduc,College,jobop,2001,0.578974693337825,0.604076648513506,0.629178603689187
2008,momeduc,Non-college,eqpay,2204,0.691568796343271,0.713400319564369,0.735231842785467
2008,momeduc,Non-college,jobop,2204,0.526884276007337,0.550785653528394,0.574687031049451
2009,momeduc,College,eqpay,2058,0.702982360237279,0.726788302296496,0.750594244355713
2009,momeduc,College,jobop,2058,0.609573184599154,0.634836336121844,0.660099487644534
2009,momeduc,Non-college,eqpay,2176,0.688654293680527,0.711720294519965,0.734786295359402
2009,momeduc,Non-college,jobop,2176,0.566737618598361,0.591209901758521,0.615682184918681
2010,momeduc,College,eqpay,2133,0.696044429473272,0.718180581521374,0.740316733569477
2010,momeduc,College,jobop,2133,0.54285114840058,0.567199052096413,0.591546955792246
2010,momeduc,Non-college,eqpay,2135,0.669434131400916,0.691948605830858,0.7144630802608
2010,momeduc,Non-college,jobop,2135,0.524965516703624,0.549198496283685,0.573431475863746
2011,momeduc,College,eqpay,2245,0.690210456602148,0.711640852691544,0.733071248780941
2011,momeduc,College,jobop,2245,0.557694235494916,0.581273224051713,0.60485221260851
2011,momeduc,Non-college,eqpay,2209,0.661854810983534,0.684274803758822,0.70669479653411
2011,momeduc,Non-college,jobop,2209,0.538064570071206,0.561721017276967,0.585377464482727
2012,momeduc,College,eqpay,2260,0.711992250449731,0.733067852379229,0.754143454308727
