year,variable,value,question,N,low,pct,upp
1992,talkpar,No,eqpay,10897,0.698686017567954,0.708696817397456,0.718707617226957
1992,talkpar,No,jobop,10897,0.525216102120884,0.536155804722032,0.547095507323179
1992,talkpar,Yes,eqpay,4185,0.737918842679806,0.753256839502392,0.768594836324978
1992,talkpar,Yes,jobop,4185,0.570714656284918,0.588292051430198,0.605869446575479
1993,talkpar,No,eqpay,11316,0.713502108621205,0.723358790026656,0.733215471432107
1993,talkpar,No,jobop,11316,0.535292629482672,0.546192783682881,0.557092937883089
1993,talkpar,Yes,eqpay,3756,0.760015785322026,0.7758651251648,0.791714465007574
1993,talkpar,Yes,jobop,3756,0.58809135138097,0.606640668953712,0.625189986526454
1994,talkpar,No,eqpay,11341,0.719348568045962,0.728948018195313,0.738547468344664
1994,talkpar,No,jobop,11341,0.541282785482705,0.551914891846768,0.562546998210832
1994,talkpar,Yes,eqpay,3850,0.749680251502193,0.765277873292376,0.780875495082559
1994,talkpar,Yes,jobop,3850,0.589048142341347,0.606960390576238,0.62487263881113
1995,talkpar,No,eqpay,11629,0.72830454262113,0.737650031296952,0.746995519972774
1995,talkpar,No,jobop,11629,0.557489180006146,0.568059169779783,0.57862915955342
1995,talkpar,Yes,eqpay,4069,0.76102775718435,0.776346610788472,0.791665464392593
1995,talkpar,Yes,jobop,4069,0.610485913854497,0.628272438214009,0.646058962573521
1996,talkpar,No,eqpay,11303,0.72130547740441,0.731123626547089,0.740941775689768
1996,talkpar,No,jobop,11303,0.557734165475276,0.568593751776574,0.579453338077873
1996,talkpar,Yes,eqpay,3867,0.753924525071687,0.769647996728688,0.78537146838569
1996,talkpar,Yes,jobop,3867,0.596568293763557,0.614657404870938,0.632746515978319
1997,talkpar,No,eqpay,5981,0.727105295739491,0.740205781171752,0.753306266604013
1997,talkpar,No,jobop,5981,0.568152355316311,0.582793071341117,0.597433787365922
1997,talkpar,Yes,eqpay,2237,0.742794424027414,0.763324864578438,0.783855305129461
1997,talkpar,Yes,jobop,2237,0.597742276581987,0.621007991797043,0.6442737070121
1998,talkpar,No,eqpay,5732,0.728332944773633,0.741857168428359,0.755381392083086
1998,talkpar,No,jobop,5732,0.584281619945759,0.599348421876076,0.614415223806393
1998,talkpar,Yes,eqpay,2040,0.758732149873497,0.779929613848019,0.801127077822541
1998,talkpar,Yes,jobop,2040,0.600451127667604,0.625371213548423,0.650291299429243
1999,talkpar,No,eqpay,5171,0.698400041353615,0.712955237698071,0.727510434042528
1999,talkpar,No,jobop,5171,0.561241947365068,0.577048632802722,0.592855318240375
1999,talkpar,Yes,eqpay,1814,0.719450313298383,0.743603047962439,0.767755782626494
1999,talkpar,Yes,jobop,1814,0.588737761293277,0.615268507493485,0.641799253693693
2000,talkpar,No,eqpay,5553,0.697167897823884,0.711524911507898,0.725881925191913
2000,talkpar,No,jobop,5553,0.563500434470781,0.579115217040989,0.594729999611196
2000,talkpar,Yes,eqpay,1993,0.729018911185183,0.751760365428012,0.77450181967084
2000,talkpar,Yes,jobop,1993,0.605546595821681,0.630554653157742,0.655562710493802
2001,talkpar,No,eqpay,5411,0.695641323339967,0.709813101462627,0.723984879585287
2001,talkpar,No,jobop,5411,0.568949141244315,0.584316086877243,0.59968303251017
2001,talkpar,Yes,eqpay,1906,0.706947815948046,0.730795384352152,0.754642952756259
2001,talkpar,Yes,jobop,1906,0.603740849293691,0.629522500652491,0.655304152011291
2002,talkpar,No,eqpay,5411,0.677138250006884,0.692107017722389,0.707075785437894
2002,talkpar,No,jobop,5411,0.562112361412959,0.577947080746779,0.593781800080598
2002,talkpar,Yes,eqpay,2026,0.707979720854663,0.731635720634353,0.755291720414043
2002,talkpar,Yes,jobop,2026,0.580125593572531,0.605951184519883,0.631776775467234
2003,talkpar,No,eqpay,5625,0.689765769309577,0.703720806841167,0.717675844372757
2003,talkpar,No,jobop,5625,0.564773790825476,0.579686702010289,0.594599613195102
2003,talkpar,Yes,eqpay,2037,0.727365513539567,0.749121739528739,0.770877965517912
2003,talkpar,Yes,jobop,2037,0.611660632984789,0.635671664256936,0.659682695529083
2004,talkpar,No,eqpay,5765,0.680486531468707,0.694234796897709,0.707983062326711
2004,talkpar,No,jobop,5765,0.541706776091468,0.556595089764376,0.571483403437283
2004,talkpar,Yes,eqpay,2241,0.718838464251672,0.739316644183261,0.75979482411485
2004,talkpar,Yes,jobop,2241,0.582978631293925,0.606503868493682,0.630029105693438
2005,talkpar,No,eqpay,5805,0.691897232518325,0.705531505176406,0.719165777834487
2005,talkpar,No,jobop,5805,0.557030962040541,0.571830593562075,0.586630225083609
2005,talkpar,Yes,eqpay,2246,0.728392575499846,0.749357803787959,0.770323032076071
2005,talkpar,Yes,jobop,2246,0.593368500718679,0.616534012042912,0.639699523367146
2006,talkpar,No,eqpay,2864,0.67571130167491,0.694861502684831,0.714011703694753
2006,talkpar,No,jobop,2864,0.539944217110008,0.5606939264136,0.581443635717192
2006,talkpar,Yes,eqpay,1143,0.724144882723682,0.753292462725557,0.782440042727433
2006,talkpar,Yes,jobop,1143,0.59844946739512,0.630487807129772,0.662526146864423
2007,talkpar,No,eqpay,2813,0.687679291303102,0.707702468712015,0.727725646120928
2007,talkpar,No,jobop,2813,0.552993635721169,0.5744232066871,0.595852777653032
2007,talkpar,Yes,eqpay,1107,0.731375214356577,0.760142107429322,0.788909000502068
2007,talkpar,Yes,jobop,1107,0.609086148511044,0.641819112157606,0.674552075804167
2008,talkpar,No,eqpay,2562,0.70206785511169,0.722054635025324,0.742041414938957
2008,talkpar,No,jobop,2562,0.540265540982615,0.562412715146055,0.584559889309495
2008,talkpar,Yes,eqpay,997,0.712435128239089,0.743890703677032,0.775346279114976
2008,talkpar,Yes,jobop,997,0.600437985317139,0.63522345147109,0.67000891762504
2009,talkpar,No,eqpay,2623,0.681979163157632,0.703476164603681,0.724973166049729
2009,talkpar,No,jobop,2623,0.572062348514434,0.594808855417161,0.617555362319888
2009,talkpar,Yes,eqpay,981,0.700390993233834,0.733975107876034,0.767559222518234
2009,talkpar,Yes,jobop,981,0.640188682578238,0.675142325123484,0.710095967668731
2010,talkpar,No,eqpay,2733,0.668186910040914,0.688514445701037,0.708841981361161
2010,talkpar,No,jobop,2733,0.511379063698701,0.533087714108689,0.554796364518677
2010,talkpar,Yes,eqpay,1066,0.686999874189392,0.718646057980664,0.750292241771935
2010,talkpar,Yes,jobop,1066,0.555230727568188,0.589584929104401,0.623939130640614
2011,talkpar,No,eqpay,2749,0.657817037992988,0.67798740992909,0.698157781865193
2011,talkpar,No,jobop,2749,0.521084238563872,0.542680994104422,0.564277749644972
2011,talkpar,Yes,eqpay,1099,0.685108782171332,0.716480345554983,0.747851908938635
2011,talkpar,Yes,jobop,1099,0.574949936378005,0.608311638400861,0.641673340423717
2012,talkpar,No,eqpay,2465,0.668751880465657,0.690113459595843,0.711475038726029
2012,talkpar,No,jobop,2465,0.495537265164772,0.518712072698362,0.541886880231953
2012,talkpar,Yes,eqpay,1033,0.702941101677424,0.733684856567595,0.764428611457767
2012,talkpar,Yes,jobop,1033,0.550007392864082,0.585273515223149,0.620539637582217
2013,talkpar,No,eqpay,2256,0.669806970727266,0.692475203220152,0.715143435713039
2013,talkpar,No,jobop,2256,0.506690245179583,0.53094243727679,0.555194629373998
2013,talkpar,Yes,eqpay,856,0.666638430707976,0.70444232785489,0.742246225001803
2013,talkpar,Yes,jobop,856,0.524527352322743,0.564461792542556,0.604396232762369
2014,talkpar,No,eqpay,2296,0.69594432482878,0.717707191895374,0.739470058961968
2014,talkpar,No,jobop,2296,0.568848943000058,0.592638881086133,0.616428819172207
2014,talkpar,Yes,eqpay,1001,0.728618111143785,0.76006874797138,0.791519384798975
2014,talkpar,Yes,jobop,1001,0.609723080058993,0.644846369760639,0.679969659462285
2015,talkpar,No,eqpay,2442,0.667715409382659,0.689654178008227,0.711592946633795
2015,talkpar,No,jobop,2442,0.576939472039185,0.599929999447227,0.622920526855269
2015,talkpar,Yes,eqpay,1164,0.726858282415355,0.755180136900234,0.783501991385113
2015,talkpar,Yes,jobop,1164,0.615532757519643,0.64724798167728,0.678963205834916
2016,talkpar,No,eqpay,2371,0.662126867219025,0.684796355268802,0.707465843318579
2016,talkpar,No,jobop,2371,0.571737097129222,0.595430073012554,0.619123048895887
2016,talkpar,Yes,eqpay,1179,0.712545022292016,0.742673253714654,0.772801485137293
2016,talkpar,Yes,jobop,1179,0.592908987736314,0.626423595791918,0.659938203847521
2017,talkpar,No,eqpay,2231,0.692016341376428,0.714449494554769,0.736882647733109
2017,talkpar,No,jobop,2231,0.595859115445812,0.620098217273469,0.644337319101126
2017,talkpar,Yes,eqpay,1041,0.694488034395543,0.727380944115367,0.760273853835192
2017,talkpar,Yes,jobop,1041,0.612011074359898,0.647165557027527,0.682320039695155
2018,talkpar,No,eqpay,2290,0.701598974534922,0.724390331169429,0.747181687803936
2018,talkpar,No,jobop,2290,0.579823991188169,0.60529607702272,0.630768162857271
2018,talkpar,Yes,eqpay,1044,0.746265399670878,0.775806374179429,0.805347348687981
2018,talkpar,Yes,jobop,1044,0.654410071354647,0.689109729548468,0.723809387742288
2019,talkpar,No,eqpay,2287,0.662444200815026,0.685760285095043,0.709076369375059
2019,talkpar,No,jobop,2287,0.548240534338588,0.573083860097369,0.59792718585615
2019,talkpar,Yes,eqpay,1079,0.64373430351502,0.678099374829086,0.712464446143153
2019,talkpar,Yes,jobop,1079,0.592703842514413,0.627576501456824,0.662449160399235
2020,talkpar,No,eqpay,739,0.629912861272783,0.673963189950119,0.718013518627455
2020,talkpar,No,jobop,739,0.504264883433738,0.550489203418891,0.596713523404044
2020,talkpar,Yes,eqpay,342,0.612416079614838,0.677215549388568,0.742015019162299
2020,talkpar,Yes,jobop,342,0.452203079992835,0.521220515578562,0.59023795116429
2021,talkpar,No,eqpay,1879,0.585699356201918,0.613692886092273,0.641686415982628
2021,talkpar,No,jobop,1879,0.476383633325852,0.504745873096837,0.533108112867822
2021,talkpar,Yes,eqpay,736,0.619165764463007,0.662112994164637,0.705060223866267
2021,talkpar,Yes,jobop,736,0.52550348726609,0.570231811497349,0.614960135728609
2022,talkpar,No,eqpay,1847,0.589579090948058,0.617857388838864,0.64613568672967
2022,talkpar,No,jobop,1847,0.462141378681899,0.4911426276012,0.520143876520502
2022,talkpar,Yes,eqpay,708,0.662759852767905,0.70356254507323,0.744365237378554
2022,talkpar,Yes,jobop,708,0.519574095711733,0.565122464037681,0.61067083236363
2023,talkpar,No,eqpay,1226,0.517781685355168,0.554794027122538,0.591806368889909
2023,talkpar,No,jobop,1226,0.385366292372309,0.421346573667609,0.457326854962909
2023,talkpar,Yes,eqpay,598,0.544429995157944,0.600622415695444,0.656814836232944
2023,talkpar,Yes,jobop,598,0.44852019872022,0.504598528426798,0.560676858133377
