year,variable,value,question,N,low,pct,upp
1991,poppres,Not present,eqpay,2559,0.689766574316033,0.710523312323102,0.731280050330171
1991,poppres,Not present,jobop,2559,0.506033317774727,0.528908318991311,0.551783320207896
1991,poppres,Present,eqpay,12621,0.68727895546905,0.696807157975128,0.706335360481206
1991,poppres,Present,jobop,12621,0.500221635489069,0.510626263543312,0.521030891597556
1992,poppres,Not present,eqpay,2609,0.699027236915033,0.719375021204009,0.739722805492985
1992,poppres,Not present,jobop,2609,0.55112588470727,0.573857010866731,0.596588137026193
1992,poppres,Present,eqpay,12736,0.716508277078735,0.725585448633206,0.734662620187678
1992,poppres,Present,jobop,12736,0.535446055865485,0.545544125604779,0.555642195344072
1993,poppres,Not present,eqpay,2769,0.729785269920323,0.748926949304659,0.768068628688994
1993,poppres,Not present,jobop,2769,0.538041796908507,0.559944873240501,0.581847949572494
1993,poppres,Present,eqpay,12570,0.728119205109094,0.737311044970065,0.746502884831035
1993,poppres,Present,jobop,12570,0.552218910188408,0.562550426420473,0.572881942652538
1994,poppres,Not present,eqpay,2647,0.720584324567765,0.740231968768219,0.759879612968673
1994,poppres,Not present,jobop,2647,0.573187213844752,0.595104024810463,0.617020835776175
1994,poppres,Present,eqpay,12799,0.729059412284253,0.737949072087296,0.746838731890338
1994,poppres,Present,jobop,12799,0.550799371646324,0.560751947843698,0.570704524041072
1995,poppres,Not present,eqpay,2648,0.727370278049897,0.747083164518961,0.766796050988026
1995,poppres,Not present,jobop,2648,0.558507576755379,0.580721454884732,0.602935333014085
1995,poppres,Present,eqpay,13510,0.742684086735563,0.751223216690001,0.759762346644438
1995,poppres,Present,jobop,13510,0.574167213159217,0.583943804144723,0.593720395130228
1996,poppres,Not present,eqpay,2758,0.729382138627556,0.749170996166917,0.768959853706278
1996,poppres,Not present,jobop,2758,0.584840456192434,0.606867470703366,0.628894485214298
1996,poppres,Present,eqpay,12686,0.731288597949285,0.740381820669069,0.749475043388853
1996,poppres,Present,jobop,12686,0.565574640081438,0.575751654479903,0.585928668878367
1997,poppres,Not present,eqpay,1873,0.714819418612166,0.738172765326449,0.761526112040731
1997,poppres,Not present,jobop,1873,0.600146401019222,0.62570187418216,0.651257347345099
1997,poppres,Present,eqpay,8569,0.74179472749752,0.752407365416764,0.763020003336009
