year,variable,value,question,N,low,pct,upp
1991,religimp,No,eqpay,6729,0.682393425872263,0.695270268847986,0.708147111823709
1991,religimp,No,jobop,6729,0.501435404838539,0.515568921405002,0.529702437971465
1991,religimp,Yes,eqpay,8716,0.688434070087495,0.699999469441047,0.711564868794598
1991,religimp,Yes,jobop,8716,0.497312050012532,0.509896848166458,0.522481646320384
1992,religimp,No,eqpay,6817,0.707347347545553,0.719868370134196,0.73238939272284
1992,religimp,No,jobop,6817,0.540554636805383,0.554323424191782,0.568092211578181
1992,religimp,Yes,eqpay,8849,0.712367271438093,0.723313412064922,0.734259552691751
1992,religimp,Yes,jobop,8849,0.534361394138018,0.546568372594883,0.558775351051748
1993,religimp,No,eqpay,6788,0.72096594427725,0.733524894078895,0.74608384388054
1993,religimp,No,jobop,6788,0.558352360235374,0.572244391938274,0.586136423641174
1993,religimp,Yes,eqpay,8910,0.727033617957134,0.737957383893676,0.748881149830218
1993,religimp,Yes,jobop,8910,0.538024596803014,0.550402079769661,0.562779562736308
1994,religimp,No,eqpay,7065,0.729476487774371,0.74124101324409,0.753005538713809
1994,religimp,No,jobop,7065,0.560019967315231,0.573252761198929,0.586485555082627
1994,religimp,Yes,eqpay,8718,0.722460887724049,0.733402590120756,0.744344292517463
1994,religimp,Yes,jobop,8718,0.54534888437895,0.55752713241879,0.56970538045863
1995,religimp,No,eqpay,7302,0.737029236129499,0.748635553938344,0.760241871747189
1995,religimp,No,jobop,7302,0.572502572984903,0.585728232579898,0.598953892174893
1995,religimp,Yes,eqpay,9193,0.737178805901924,0.747672306923242,0.75816580794456
1995,religimp,Yes,jobop,9193,0.567306543952726,0.579260612684906,0.591214681417085
1996,religimp,No,eqpay,6816,0.719247414127829,0.731865134753741,0.744482855379653
1996,religimp,No,jobop,6816,0.566418424732903,0.58030491706433,0.594191409395757
1996,religimp,Yes,eqpay,8966,0.733882783675746,0.744660921868062,0.755439060060379
1996,religimp,Yes,jobop,8966,0.564038253140398,0.576193446667666,0.588348640194933
1997,religimp,No,eqpay,3416,0.731364899511954,0.748299524473713,0.765234149435471
1997,religimp,No,jobop,3416,0.567031217080675,0.586279393854594,0.605527570628513
1997,religimp,Yes,eqpay,5200,0.728543312364152,0.742620529382286,0.75669774640042
1997,religimp,Yes,jobop,5200,0.579248466175597,0.594885317415713,0.610522168655829
1998,religimp,No,eqpay,3225,0.734720830689734,0.752302760461629,0.769884690233523
1998,religimp,No,jobop,3225,0.585935001258424,0.605946825226586,0.625958649194748
1998,religimp,Yes,eqpay,4857,0.73373484634356,0.748315835417666,0.762896824491772
1998,religimp,Yes,jobop,4857,0.588084974274375,0.604377304766593,0.620669635258811
1999,religimp,No,eqpay,2917,0.7011792960651,0.720477737747526,0.739776179429952
1999,religimp,No,jobop,2917,0.564864181481771,0.585830620622409,0.606797059763048
1999,religimp,Yes,eqpay,4278,0.703761519130881,0.719742102560151,0.735722685989421
1999,religimp,Yes,jobop,4278,0.566071184167985,0.583517316799233,0.60096344943048
2000,religimp,No,eqpay,3088,0.706720946491724,0.725464065284374,0.744207184077024
2000,religimp,No,jobop,3088,0.593776880191679,0.614179731078943,0.634582581966208
2000,religimp,Yes,eqpay,4613,0.704188263900664,0.719867265026521,0.735546266152379
2000,religimp,Yes,jobop,4613,0.559987028003297,0.577073503427854,0.59415997885241
2001,religimp,No,eqpay,3047,0.701734167703301,0.720308653152229,0.738883138601157
2001,religimp,No,jobop,3047,0.591436360082833,0.6114249086192,0.631413457155567
2001,religimp,Yes,eqpay,4329,0.696939575210348,0.712777720369305,0.728615865528261
2001,religimp,Yes,jobop,4329,0.56662770343861,0.583906840064292,0.601185976689975
2002,religimp,No,eqpay,2971,0.681764235141359,0.701681123837722,0.721598012534085
2002,religimp,No,jobop,2971,0.56874084514729,0.589954155183384,0.611167465219477
