year,variable,value,question,N,low,pct,upp
1991,hrssocmed,NA,eqpay,15675,0.688226289828546,0.696786052774292,0.705345815720038
1991,hrssocmed,NA,jobop,15675,0.502322315608685,0.511656194731676,0.520990073854668
1992,hrssocmed,NA,eqpay,15972,0.713891027131388,0.722045948223822,0.730200869316256
1992,hrssocmed,NA,jobop,15972,0.539918192330443,0.548974541718249,0.558030891106054
1993,hrssocmed,NA,eqpay,15973,0.727678295164759,0.735848590050203,0.744018884935647
1993,hrssocmed,NA,jobop,15973,0.550798117225827,0.559976519839953,0.569154922454078
1994,hrssocmed,NA,eqpay,16041,0.728119173990158,0.736091676767575,0.744064179544992
1994,hrssocmed,NA,jobop,16041,0.554561632149289,0.563466893916558,0.572372155683827
1995,hrssocmed,NA,eqpay,16814,0.739109397920114,0.746839165601632,0.75456893328315
1995,hrssocmed,NA,jobop,16814,0.571996972502214,0.580787455725795,0.589577938949375
1996,hrssocmed,NA,eqpay,16093,0.7297067720081,0.737838606923243,0.745970441838387
1996,hrssocmed,NA,jobop,16093,0.568426150341976,0.577485221936199,0.586544293530422
1997,hrssocmed,NA,eqpay,10841,0.738172599480704,0.747695472441895,0.757218345403087
1997,hrssocmed,NA,jobop,10841,0.584326403901132,0.595053829707585,0.605781255514037
1998,hrssocmed,NA,eqpay,10385,0.743035844715687,0.752764275107803,0.762492705499919
1998,hrssocmed,NA,jobop,10385,0.598126264044871,0.609102232183561,0.620078200322251
1999,hrssocmed,NA,eqpay,9332,0.718189609930267,0.728811237216884,0.739432864503501
1999,hrssocmed,NA,jobop,9332,0.575465920441335,0.587136746583041,0.598807572724747
2000,hrssocmed,NA,eqpay,9736,0.718714656906611,0.729234003377007,0.739753349847403
2000,hrssocmed,NA,jobop,9736,0.581528549187536,0.593131810922917,0.604735072658298
2001,hrssocmed,NA,eqpay,9428,0.702280272569415,0.713012806631449,0.723745340693483
2001,hrssocmed,NA,jobop,9428,0.581584373806525,0.593200319036939,0.604816264267354
2002,hrssocmed,NA,eqpay,9378,0.700168115184907,0.711199889306655,0.722231663428402
2002,hrssocmed,NA,jobop,9378,0.576413666733723,0.588306082644743,0.600198498555763
2003,hrssocmed,NA,eqpay,10009,0.705399781370351,0.715627355621257,0.725854929872163
2003,hrssocmed,NA,jobop,10009,0.58481793672774,0.595870261375087,0.606922586022434
2004,hrssocmed,NA,eqpay,10630,0.704220616620681,0.714004477800274,0.723788338979867
2004,hrssocmed,NA,jobop,10630,0.570086625280784,0.580860634257774,0.591634643234765
2005,hrssocmed,NA,eqpay,10564,0.713842706069478,0.723699873718558,0.733557041367638
2005,hrssocmed,NA,jobop,10564,0.585984727005474,0.596768076846108,0.607551426686742
2006,hrssocmed,NA,eqpay,5169,0.70617831785129,0.720056650701443,0.733934983551595
2006,hrssocmed,NA,jobop,5169,0.56590073130788,0.581245882010208,0.596591032712536
2007,hrssocmed,NA,eqpay,5206,0.713297668574705,0.727377887017481,0.741458105460257
2007,hrssocmed,NA,jobop,5206,0.577483722850258,0.592956346216557,0.608428969582856
2008,hrssocmed,NA,eqpay,4793,0.716063231704048,0.730584843935423,0.745106456166797
2008,hrssocmed,NA,jobop,4793,0.558933922797566,0.57518154766079,0.591429172524014
2009,hrssocmed,NA,eqpay,4782,0.700164822742132,0.715727750681406,0.731290678620681
2009,hrssocmed,NA,jobop,4782,0.59291807640691,0.609502918934323,0.626087761461737
2010,hrssocmed,NA,eqpay,4855,0.690635259950383,0.705436825004962,0.720238390059541
2010,hrssocmed,NA,jobop,4855,0.541605573800182,0.557732668239381,0.57385976267858
2011,hrssocmed,NA,eqpay,5065,0.681337519279079,0.695926454276848,0.710515389274618
2011,hrssocmed,NA,jobop,5065,0.550234083324013,0.565949496321162,0.581664909318311
2012,hrssocmed,NA,eqpay,4816,0.699439806009934,0.714097053547023,0.728754301084112
2012,hrssocmed,NA,jobop,4816,0.537790781370035,0.554080025613327,0.570369269856618
2013,hrssocmed,NA,eqpay,4348,0.684366013972706,0.700353048058382,0.716340082144059
2013,hrssocmed,NA,jobop,4348,0.533053743408123,0.550196534089796,0.567339324771469
2014,hrssocmed,NA,eqpay,4432,0.707721287223207,0.723277080968864,0.738832874714522
2014,hrssocmed,NA,jobop,4432,0.577095580862103,0.594202123772137,0.61130866668217
2015,hrssocmed,NA,eqpay,4838,0.70563186008482,0.720610111714537,0.735588363344253
2015,hrssocmed,NA,jobop,4838,0.60699870361554,0.623066839394109,0.639134975172677
2016,hrssocmed,NA,eqpay,5042,0.691950912559779,0.707268010130232,0.722585107700685
2016,hrssocmed,NA,jobop,5042,0.602161362255587,0.618423942365015,0.634686522474442
2017,hrssocmed,NA,eqpay,4613,0.70645112757503,0.721876819929226,0.737302512283422
2017,hrssocmed,NA,jobop,4613,0.610275012595116,0.62692942882018,0.643583845045245
2018,hrssocmed,1-4,eqpay,1866,0.701776829418378,0.726684713688419,0.751592597958461
2018,hrssocmed,1-4,jobop,1866,0.599413496324905,0.626495483446066,0.653577470567226
2018,hrssocmed,5+,eqpay,890,0.648483554370537,0.686588462716331,0.724693371062126
