year,variable,value,question,N,low,pct,upp
1991,total,Agree,eqpay,15675,0.688226289865887,0.696786052774292,0.705345815682696
1991,total,Agree,jobop,15675,0.502322315649403,0.511656194731676,0.52099007381395
1991,total,Mostly agree or agree,eqpay,15675,0.859400391399242,0.865707892525678,0.872015393652113
1991,total,Mostly agree or agree,jobop,15675,0.76691328338737,0.774801063282237,0.782688843177105
1992,total,Agree,eqpay,15972,0.713891027166963,0.722045948223822,0.730200869280681
1992,total,Agree,jobop,15972,0.539918192369951,0.548974541718249,0.558030891066547
1992,total,Mostly agree or agree,eqpay,15972,0.866722013166007,0.872835210378477,0.878948407590948
1992,total,Mostly agree or agree,jobop,15972,0.780338844735179,0.78792059424018,0.795502343745182
1993,total,Agree,eqpay,15973,0.727678295200401,0.735848590050203,0.744018884900005
1993,total,Agree,jobop,15973,0.550798117265867,0.559976519839953,0.569154922414038
1993,total,Mostly agree or agree,eqpay,15973,0.867027006480331,0.873215129034313,0.879403251588295
1993,total,Mostly agree or agree,jobop,15973,0.786443425333479,0.793989848358592,0.801536271383705
1994,total,Agree,eqpay,16041,0.728119174024937,0.736091676767575,0.744064179510212
1994,total,Agree,jobop,16041,0.554561632188137,0.563466893916558,0.572372155644979
1994,total,Mostly agree or agree,eqpay,16041,0.867039691664301,0.873127131674066,0.879214571683831
1994,total,Mostly agree or agree,jobop,16041,0.786678889631032,0.79405694410761,0.801434998584187
1995,total,Agree,eqpay,16814,0.739109397953834,0.746839165601632,0.754568933249429
1995,total,Agree,jobop,16814,0.571996972540562,0.580787455725795,0.589577938911027
1995,total,Mostly agree or agree,eqpay,16814,0.875838263296838,0.881658170315234,0.88747807733363
1995,total,Mostly agree or agree,jobop,16814,0.800279972496296,0.807431435713583,0.81458289893087
1996,total,Agree,eqpay,16093,0.729706772043575,0.737838606923243,0.745970441802912
1996,total,Agree,jobop,16093,0.568426150381495,0.577485221936199,0.586544293490903
1996,total,Mostly agree or agree,eqpay,16093,0.87123109056891,0.877272494191599,0.883313897814288
1996,total,Mostly agree or agree,jobop,16093,0.802435031370724,0.809722197834145,0.817009364297567
1997,total,Agree,eqpay,10841,0.738172599522247,0.747695472441895,0.757218345361544
1997,total,Agree,jobop,10841,0.58432640394793,0.595053829707585,0.60578125546724
1997,total,Mostly agree or agree,eqpay,10841,0.873215707869041,0.880327515989199,0.887439324109356
1997,total,Mostly agree or agree,jobop,10841,0.813280556609033,0.821687237437208,0.830093918265382
1998,total,Agree,eqpay,10385,0.743035844758126,0.752764275107803,0.762492705457479
1998,total,Agree,jobop,10385,0.598126264092753,0.609102232183561,0.620078200274369
1998,total,Mostly agree or agree,eqpay,10385,0.874938765567407,0.882154225476062,0.889369685384718
1998,total,Mostly agree or agree,jobop,10385,0.816295796369644,0.824866306733132,0.833436817096621
1999,total,Agree,eqpay,9332,0.718189609976603,0.728811237216884,0.739432864457165
1999,total,Agree,jobop,9332,0.575465920492248,0.587136746583041,0.598807572673834
