year,variable,value,question,N,low,pct,upp
1991,video,NA,eqpay,15675,0.688226289827141,0.696786052774292,0.705345815721442
1991,video,NA,jobop,15675,0.502322315607153,0.511656194731676,0.520990073856199
1992,video,NA,eqpay,15972,0.71389102713005,0.722045948223822,0.730200869317594
1992,video,NA,jobop,15972,0.539918192328957,0.548974541718249,0.55803089110754
1993,video,NA,eqpay,15973,0.727678295163418,0.735848590050203,0.744018884936987
1993,video,NA,jobop,15973,0.550798117224321,0.559976519839953,0.569154922455584
1994,video,NA,eqpay,16041,0.72811917398885,0.736091676767575,0.7440641795463
1994,video,NA,jobop,16041,0.554561632147828,0.563466893916558,0.572372155685289
1995,video,NA,eqpay,16814,0.739109397918846,0.746839165601632,0.754568933284418
1995,video,NA,jobop,16814,0.571996972500772,0.580787455725795,0.589577938950817
1996,video,NA,eqpay,16093,0.729706772006766,0.737838606923243,0.745970441839721
1996,video,NA,jobop,16093,0.568426150340489,0.577485221936199,0.586544293531909
1997,video,NA,eqpay,10841,0.738172599479141,0.747695472441895,0.757218345404649
1997,video,NA,jobop,10841,0.584326403899372,0.595053829707585,0.605781255515798
1998,video,NA,eqpay,10385,0.743035844714091,0.752764275107803,0.762492705501515
1998,video,NA,jobop,10385,0.59812626404307,0.609102232183561,0.620078200324052
1999,video,NA,eqpay,9332,0.718189609928524,0.728811237216884,0.739432864505244
1999,video,NA,jobop,9332,0.57546592043942,0.587136746583041,0.598807572726662
2000,video,NA,eqpay,9736,0.718714656904885,0.729234003377007,0.739753349849129
2000,video,NA,jobop,9736,0.581528549185632,0.593131810922917,0.604735072660202
2001,video,NA,eqpay,9428,0.702280272567654,0.713012806631449,0.723745340695244
2001,video,NA,jobop,9428,0.581584373804619,0.593200319036939,0.60481626426926
2002,video,NA,eqpay,9378,0.700168115183097,0.711199889306655,0.722231663430213
2002,video,NA,jobop,9378,0.576413666731772,0.588306082644743,0.600198498557714
2003,video,NA,eqpay,10009,0.705399781368673,0.715627355621257,0.725854929873841
2003,video,NA,jobop,10009,0.584817936725926,0.595870261375087,0.606922586024247
2004,video,NA,eqpay,10630,0.704220616619075,0.714004477800274,0.723788338981472
2004,video,NA,jobop,10630,0.570086625279016,0.580860634257774,0.591634643236533
2005,video,NA,eqpay,10564,0.71384270606786,0.723699873718558,0.733557041369256
2005,video,NA,jobop,10564,0.585984727003705,0.596768076846108,0.607551426688511
2006,video,NA,eqpay,5169,0.706178317849013,0.720056650701443,0.733934983553873
2006,video,NA,jobop,5169,0.565900731305362,0.581245882010208,0.596591032715054
2007,video,NA,eqpay,5206,0.713297668572394,0.727377887017481,0.741458105462568
2007,video,NA,jobop,5206,0.577483722847719,0.592956346216557,0.608428969585395
2008,video,NA,eqpay,4793,0.716063231701665,0.730584843935423,0.74510645616918
2008,video,NA,jobop,4793,0.5589339227949,0.57518154766079,0.59142917252668
2009,video,NA,eqpay,4782,0.700164822739578,0.715727750681406,0.731290678623235
2009,video,NA,jobop,4782,0.592918076404188,0.609502918934323,0.626087761464459
2010,video,NA,eqpay,4855,0.690635259947955,0.705436825004962,0.72023839006197
2010,video,NA,jobop,4855,0.541605573797535,0.557732668239381,0.573859762681226
2011,video,NA,eqpay,5065,0.681337519276685,0.695926454276848,0.710515389277012
2011,video,NA,jobop,5065,0.550234083321434,0.565949496321162,0.58166490932089
2012,video,NA,eqpay,4816,0.699439806007529,0.714097053547023,0.728754301086517
2012,video,NA,jobop,4816,0.537790781367362,0.554080025613327,0.570369269859291
2013,video,NA,eqpay,4348,0.684366013970082,0.700353048058382,0.716340082146683
2013,video,NA,jobop,4348,0.53305374340531,0.550196534089796,0.567339324774282
2014,video,NA,eqpay,4432,0.707721287220655,0.723277080968864,0.738832874717074
2014,video,NA,jobop,4432,0.577095580859296,0.594202123772137,0.611308666684977
2015,video,NA,eqpay,4838,0.705631860082363,0.720610111714537,0.735588363346711
2015,video,NA,jobop,4838,0.606998703612904,0.623066839394109,0.639134975175313
2016,video,NA,eqpay,5042,0.691950912557266,0.707268010130232,0.722585107703198
2016,video,NA,jobop,5042,0.602161362252919,0.618423942365015,0.634686522477111
2017,video,NA,eqpay,4613,0.706451127572499,0.721876819929226,0.737302512285953
2017,video,NA,jobop,4613,0.610275012592383,0.62692942882018,0.643583845047978
2018,video,2-4,eqpay,1571,0.704414318833991,0.730946392278335,0.757478465722679
2018,video,2-4,jobop,1571,0.609558883453589,0.638583557629785,0.667608231805981
2018,video,4+,eqpay,1738,0.691226523530804,0.717284669218549,0.743342814906295
2018,video,4+,jobop,1738,0.598359173874519,0.626743476943754,0.65512778001299
2018,video,<2,eqpay,1245,0.701958059773844,0.73239321902256,0.762828378271276
2018,video,<2,jobop,1245,0.595858680076627,0.629609765781892,0.663360851487157
2019,video,2-4,eqpay,1555,0.68269545987799,0.710509876575714,0.738324293273438
2019,video,2-4,jobop,1555,0.579127904239987,0.608896206344323,0.638664508448659
2019,video,4+,eqpay,1711,0.653146396642476,0.680618658856365,0.708090921070253
2019,video,4+,jobop,1711,0.560337854799961,0.589259881307419,0.618181907814877
2019,video,<2,eqpay,1080,0.657762065580592,0.691069122377518,0.724376179174444
2019,video,<2,jobop,1080,0.569031878819055,0.604264347590262,0.639496816361468
2020,video,2-4,eqpay,400,0.615175489205971,0.673738553870318,0.732301618534664
2020,video,2-4,jobop,400,0.46186764721097,0.523723936631601,0.585580226052232
2020,video,4+,eqpay,618,0.63241245976879,0.681156360994355,0.72990026221992
2020,video,4+,jobop,618,0.53151823117295,0.582564380847536,0.633610530522122
2020,video,<2,eqpay,290,0.55779168578689,0.630494819583532,0.703197953380175
2020,video,<2,jobop,290,0.425635218309118,0.499811964340212,0.573988710371306
2021,video,2-4,eqpay,1120,0.611426201892183,0.646509013150867,0.681591824409551
2021,video,2-4,jobop,1120,0.496741983482895,0.532928087339847,0.569114191196798
2021,video,4+,eqpay,1626,0.606111794508116,0.635778814734891,0.665445834961666
2021,video,4+,jobop,1626,0.511636706465757,0.541906611881927,0.572176517298098
2021,video,<2,eqpay,743,0.550738998744826,0.594704463759828,0.63866992877483
2021,video,<2,jobop,743,0.444944463828278,0.489670765188198,0.534397066548118
2022,video,2-4,eqpay,1044,0.622837037063184,0.658305356243471,0.693773675423757
2022,video,2-4,jobop,1044,0.509793806140219,0.548010237666205,0.586226669192191
2022,video,4+,eqpay,1464,0.629277063230698,0.659501735200819,0.689726407170941
2022,video,4+,jobop,1464,0.5200384278809,0.551910567982373,0.583782708083845
2022,video,<2,eqpay,725,0.537032780910246,0.581864110118716,0.626695439327185
2022,video,<2,jobop,725,0.397108705744063,0.441749246318229,0.486389786892395
2023,video,2-4,eqpay,775,0.553815407922881,0.601992767109244,0.650170126295608
2023,video,2-4,jobop,775,0.424057729446487,0.472872976462553,0.521688223478618
2023,video,4+,eqpay,1014,0.5346305351519,0.576107730196713,0.617584925241527
2023,video,4+,jobop,1014,0.43191367421256,0.473289357036738,0.514665039860917
2023,video,<2,eqpay,407,0.444311510886449,0.507328365538011,0.570345220189574
2023,video,<2,jobop,407,0.312345807346158,0.370358533782154,0.42837126021815
