ds,year,form,V4,varname,irn
ICPSR_02521,1991,1,8th,v1226,00030
ICPSR_02521,1991,2,8th,v2226,00030
ICPSR_02521,1991,3,8th,v1226,00030
ICPSR_02521,1991,4,8th,v2226,00030
ICPSR_02521,1991,1,8th,v1230,00090
ICPSR_02521,1991,2,8th,v2230,00090
ICPSR_02521,1991,3,8th,v1230,00090
ICPSR_02521,1991,4,8th,v2230,00090
ICPSR_02521,1991,1,8th,v1239,00310
ICPSR_02521,1991,2,8th,v2239,00310
ICPSR_02521,1991,3,8th,v1239,00310
ICPSR_02521,1991,4,8th,v2239,00310
ICPSR_02521,1991,1,8th,v1240,00320
ICPSR_02521,1991,2,8th,v2240,00320
ICPSR_02521,1991,3,8th,v1240,00320
ICPSR_02521,1991,4,8th,v2240,00320
ICPSR_02521,1991,1,8th,v1244,00380
ICPSR_02521,1991,2,8th,v2244,00380
ICPSR_02521,1991,3,8th,v1244,00380
ICPSR_02521,1991,4,8th,v2244,00380
ICPSR_02521,1991,1,8th,v1264,00630
ICPSR_02521,1991,2,8th,v2264,00630
ICPSR_02521,1991,3,8th,v1264,00630
ICPSR_02521,1991,4,8th,v2264,00630
ICPSR_02521,1991,1,8th,v1114,05920
ICPSR_02521,1991,2,8th,v2114,05920
ICPSR_02521,1991,3,8th,v1114,05920
ICPSR_02521,1991,4,8th,v2114,05920
ICPSR_02521,1991,1,8th,v1139,07930
ICPSR_02521,1991,2,8th,v2139,07930
ICPSR_02521,1991,3,8th,v1139,07930
ICPSR_02521,1991,4,8th,v2139,07930
ICPSR_02521,1991,1,8th,v1140,07950
ICPSR_02521,1991,2,8th,v2140,07950
ICPSR_02521,1991,3,8th,v1140,07950
ICPSR_02521,1991,4,8th,v2140,07950
ICPSR_02521,1991,1,8th,v1101,24770
ICPSR_02521,1991,2,8th,v2101,24770
ICPSR_02521,1991,3,8th,v1101,24770
ICPSR_02521,1991,4,8th,v2101,24770
ICPSR_02522,1992,1,8th,v1225,00030
ICPSR_02522,1992,2,8th,v2224,00030
ICPSR_02522,1992,3,8th,v1225,00030
ICPSR_02522,1992,4,8th,v2224,00030
ICPSR_02522,1992,1,8th,v1229,00090
ICPSR_02522,1992,2,8th,v2228,00090
ICPSR_02522,1992,3,8th,v1229,00090
ICPSR_02522,1992,4,8th,v2228,00090
ICPSR_02522,1992,1,8th,v1238,00310
ICPSR_02522,1992,2,8th,v2237,00310
ICPSR_02522,1992,3,8th,v1238,00310
ICPSR_02522,1992,4,8th,v2237,00310
ICPSR_02522,1992,1,8th,v1239,00320
ICPSR_02522,1992,2,8th,v2238,00320
ICPSR_02522,1992,3,8th,v1239,00320
ICPSR_02522,1992,4,8th,v2238,00320
ICPSR_02522,1992,1,8th,v1243,00380
ICPSR_02522,1992,2,8th,v2242,00380
ICPSR_02522,1992,3,8th,v1243,00380
ICPSR_02522,1992,4,8th,v2242,00380
ICPSR_02522,1992,1,8th,v1263,00630
ICPSR_02522,1992,2,8th,v2262,00630
ICPSR_02522,1992,3,8th,v1263,00630
ICPSR_02522,1992,4,8th,v2262,00630
ICPSR_02522,1992,1,8th,v1108,05920
ICPSR_02522,1992,2,8th,v2108,05920
ICPSR_02522,1992,3,8th,v1108,05920
ICPSR_02522,1992,4,8th,v2108,05920
ICPSR_02522,1992,1,8th,v1138,07930
ICPSR_02522,1992,2,8th,v2137,07930
ICPSR_02522,1992,3,8th,v1138,07930
ICPSR_02522,1992,4,8th,v2137,07930
ICPSR_02522,1992,1,8th,v1139,07950
ICPSR_02522,1992,2,8th,v2138,07950
ICPSR_02522,1992,3,8th,v1139,07950
ICPSR_02522,1992,4,8th,v2138,07950
ICPSR_02522,1992,1,8th,v1101,24770
ICPSR_02522,1992,2,8th,v2101,24770
ICPSR_02522,1992,3,8th,v1101,24770
ICPSR_02522,1992,4,8th,v2101,24770
ICPSR_02522,1992,1,8th,v1269,25860
ICPSR_02522,1992,2,8th,v2268,25860
ICPSR_02522,1992,3,8th,v1269,25860
ICPSR_02522,1992,4,8th,v2268,25860
ICPSR_02523,1993,1,8th,v1226,00030
ICPSR_02523,1993,2,8th,v2227,00030
ICPSR_02523,1993,3,8th,v1226,00030
ICPSR_02523,1993,4,8th,v2227,00030
ICPSR_02523,1993,1,8th,v1230,00090
ICPSR_02523,1993,2,8th,v2231,00090
ICPSR_02523,1993,3,8th,v1230,00090
ICPSR_02523,1993,4,8th,v2231,00090
ICPSR_02523,1993,1,8th,v1239,00310
ICPSR_02523,1993,2,8th,v2240,00310
ICPSR_02523,1993,3,8th,v1239,00310
ICPSR_02523,1993,4,8th,v2240,00310
ICPSR_02523,1993,1,8th,v1240,00320
ICPSR_02523,1993,2,8th,v2241,00320
ICPSR_02523,1993,3,8th,v1240,00320
ICPSR_02523,1993,4,8th,v2241,00320
ICPSR_02523,1993,1,8th,v1244,00380
ICPSR_02523,1993,2,8th,v2245,00380
ICPSR_02523,1993,3,8th,v1244,00380
ICPSR_02523,1993,4,8th,v2245,00380
ICPSR_02523,1993,1,8th,v1264,00630
ICPSR_02523,1993,2,8th,v2265,00630
ICPSR_02523,1993,3,8th,v1264,00630
ICPSR_02523,1993,4,8th,v2265,00630
ICPSR_02523,1993,1,8th,v1108,05920
ICPSR_02523,1993,2,8th,v2108,05920
ICPSR_02523,1993,3,8th,v1108,05920
ICPSR_02523,1993,4,8th,v2108,05920
ICPSR_02523,1993,1,8th,v1138,07930
ICPSR_02523,1993,2,8th,v2137,07930
ICPSR_02523,1993,3,8th,v1138,07930
ICPSR_02523,1993,4,8th,v2137,07930
ICPSR_02523,1993,1,8th,v1139,07950
ICPSR_02523,1993,2,8th,v2138,07950
ICPSR_02523,1993,3,8th,v1139,07950
